age,income,loan_amount,credit_score,employment_years,existing_loans,loan_term,interest_rate,default
59,102943,347208,575,4,2,12,6.03,0
49,57495,265176,381,35,0,60,21.4,1
35,124229,116469,512,32,0,60,19.89,0
63,147139,395598,496,12,1,12,10.32,0
28,32265,297173,344,31,4,36,19.16,1
41,87445,336324,829,36,0,36,11.86,0
59,94772,205832,602,36,0,36,10.61,0
39,111901,495501,812,26,3,36,7.64,0
43,68709,295790,627,1,2,12,23.37,1
31,56060,203634,336,12,2,24,14.01,1
31,46411,37201,319,37,3,24,10.1,0
44,67684,463772,650,29,1,12,9.61,1
56,86947,413770,485,5,1,36,10.77,1
60,129025,446170,340,2,2,60,16.66,0
44,87740,455587,599,29,0,48,18.18,1
23,33899,81225,676,18,0,12,19.95,0
42,72852,468770,534,15,1,48,8.3,1
22,145320,246131,718,3,1,36,13.23,0
44,118024,487207,380,8,3,24,5.18,1
64,15678,312851,326,7,4,12,6.69,1
50,60797,67272,320,25,2,48,10.2,0
58,53894,432437,595,8,3,60,5.14,1
22,113202,130162,471,11,2,48,7.77,0
41,93763,408879,679,27,4,48,13.67,1
53,85442,134628,448,4,4,48,12.65,0
32,22898,288784,819,15,3,36,17.79,1
42,65352,277465,464,18,0,60,8.82,1
64,62207,421061,717,22,1,12,9.59,1
45,86880,359668,672,7,1,12,13.12,0
47,135618,247428,407,37,4,48,17.92,0
62,122394,124523,615,17,0,48,23.88,0
48,127382,460055,744,25,0,36,17.78,0
36,32442,27370,729,25,4,36,5.04,0
35,71436,429291,784,14,1,48,21.82,1
64,143934,252235,518,13,2,24,11.37,0
23,136751,169775,797,6,4,60,10.06,0
57,27686,275570,548,24,0,48,19.02,1
27,58604,381866,573,1,3,36,19.75,1
41,56163,34310,667,5,4,12,14.16,0
29,17491,144602,496,8,1,24,15.87,1
59,101742,115523,805,20,4,12,18.72,0
38,74382,434509,389,10,3,60,24.32,1
24,94464,31078,613,6,1,60,18.29,0
45,54772,404194,395,31,2,48,9.68,1
34,92096,462986,589,39,0,36,19.33,0
29,22011,94727,418,39,0,36,20.13,1
46,53118,458684,348,26,0,60,6.25,1
22,78849,147947,823,12,4,60,5.66,0
40,138793,81218,553,1,0,24,22.04,0
48,122915,214315,449,12,2,24,6.15,0
27,30096,349769,768,3,4,36,8.36,1
64,75047,140919,611,3,2,36,23.24,0
28,80891,484480,749,25,1,24,6.92,1
55,133160,277676,501,22,2,24,9.1,0
34,23432,443478,673,19,0,24,7.29,1
37,139790,14316,688,29,3,60,17.16,0
56,71862,436318,761,24,2,60,19.85,1
60,112186,159923,704,26,4,12,21.98,0
24,61618,276935,305,19,2,24,9.69,1
22,97774,238906,338,15,2,24,6.89,0
26,125239,70774,451,3,2,48,22.87,0
62,74658,489475,340,8,2,60,11.0,1
24,108312,148877,418,6,3,48,21.04,0
49,136051,20072,622,19,3,60,23.94,0
38,143081,246476,532,31,4,24,5.35,0
46,100544,484380,337,0,0,60,17.23,1
64,69598,482240,583,8,3,24,20.06,1
54,57020,80931,550,39,1,36,17.13,0
30,23573,418268,451,18,2,12,20.61,1
56,81668,271775,667,39,2,60,22.95,0
34,66628,89082,370,35,4,24,7.91,0
51,67287,282083,514,33,3,12,10.73,1
35,128838,11474,514,33,1,36,8.41,0
28,15944,264262,551,22,2,36,8.08,1
34,54442,131485,349,0,0,48,15.28,0
43,59278,107765,654,35,1,24,17.15,0
60,48602,106869,316,22,2,24,13.77,0
41,35134,98729,674,28,2,12,21.77,0
36,84720,256128,530,22,4,48,15.49,0
38,87714,483069,398,22,0,36,13.28,1
44,23146,171948,714,26,4,60,17.76,1
46,127188,68784,380,26,4,48,21.1,0
45,133222,300376,522,38,3,48,21.16,0
61,131740,277370,629,26,1,12,8.58,0
49,121455,245462,631,22,3,48,6.42,0
35,98780,59492,417,22,0,12,18.14,0
21,110381,97897,829,20,4,24,12.33,0
45,121355,171760,414,6,3,12,19.26,0
27,110597,54962,504,20,0,24,14.51,0
29,17127,10909,740,19,1,24,18.54,0
44,140553,27362,674,31,0,48,9.77,0
21,30877,11629,617,38,3,24,14.91,0
64,27519,414998,687,5,2,48,14.55,1
28,23351,61852,601,17,2,24,6.8,0
44,138223,202683,378,5,1,24,19.55,0
31,72548,114315,781,7,1,24,22.26,0
37,124538,78134,492,1,0,24,5.16,0
28,107997,36633,561,39,1,60,16.62,0
55,140597,481998,426,19,4,48,17.97,1
55,54253,98391,482,12,4,36,21.22,0
53,101967,289066,761,37,4,24,13.61,0
25,49864,477523,459,7,4,60,15.13,1
62,27493,220558,750,25,1,36,13.11,1
59,20337,16432,409,9,1,36,20.52,0
61,78281,186897,379,8,0,60,11.31,0
48,31035,228933,722,27,2,36,9.08,1
27,103854,31560,524,6,2,48,11.6,0
29,34884,370707,816,0,0,36,18.53,1
28,24074,109794,526,32,1,48,14.63,1
32,107885,252451,706,12,1,36,20.37,0
54,41907,25537,773,33,0,36,18.16,0
53,119723,33343,473,10,1,24,10.5,0
43,23624,414341,690,28,3,36,12.18,1
44,36622,202265,404,26,1,24,14.19,1
57,88106,463176,361,34,1,48,12.2,1
55,36487,57408,306,37,0,36,15.55,0
64,15617,388153,826,24,2,24,22.36,1
60,125988,484190,424,39,1,60,6.84,0
42,140385,162158,831,14,3,60,5.46,0
47,121813,167256,667,1,3,48,16.85,0
55,128021,453701,609,13,3,36,24.5,0
21,48224,145649,733,13,3,36,24.72,0
55,43994,36085,732,23,4,48,17.12,0
57,77439,232520,558,4,2,12,22.83,0
34,117178,105918,747,33,4,12,16.85,0
23,38014,117933,546,31,0,60,20.37,0
21,85509,71307,735,27,1,60,16.15,0
25,85310,102266,336,12,1,24,19.42,0
46,103635,155030,359,15,4,12,19.87,0
34,65218,318492,731,20,2,48,9.51,1
59,61390,68636,713,21,2,48,10.74,0
47,57588,330882,515,22,2,12,21.96,1
29,129391,183610,437,31,4,48,23.09,0
35,28302,307845,626,11,0,36,16.39,1
35,18234,175197,301,21,1,60,11.69,1
46,85034,484851,795,22,4,60,22.52,1
62,124734,351061,767,34,4,12,21.03,0
33,85803,433066,525,24,2,24,11.58,1
52,51437,294148,538,29,4,36,5.54,1
59,102989,13963,473,29,4,12,14.05,0
52,115265,250663,672,2,3,24,11.3,0
24,127244,44131,468,30,2,60,21.4,0
50,32259,333843,303,35,0,12,20.39,1
57,143526,393661,691,35,1,60,19.04,0
43,77674,77477,821,34,0,60,12.46,0
59,30032,93328,811,13,2,24,7.79,0
35,101419,206490,412,21,0,12,11.55,0
63,41004,246999,401,14,4,60,22.98,1
49,28170,480037,816,22,0,60,21.98,1
56,119251,75592,373,7,3,12,8.45,0
33,32842,8693,412,23,2,60,24.83,0
52,120699,223668,379,39,4,24,17.63,0
27,83708,98462,742,32,0,60,8.7,0
42,51195,490707,741,6,4,24,19.09,1
48,143138,71308,706,37,3,48,8.49,0
22,22736,398939,616,35,4,60,19.72,1
62,63258,153674,583,8,1,48,18.68,0
26,111804,427518,445,33,3,12,22.85,1
48,58475,382537,793,19,3,48,24.56,1
48,59511,149426,652,18,2,60,8.28,0
64,19206,427867,372,31,2,36,18.45,1
64,131888,243849,762,20,2,12,10.9,0
40,34348,261687,559,25,1,12,6.57,1
50,71057,369985,400,8,4,36,10.8,1
31,128359,313519,601,35,1,36,6.68,0
48,132615,120298,817,33,0,24,16.85,0
45,33032,331068,638,5,0,36,5.12,1
59,69679,103234,706,32,2,48,17.36,0
53,122654,145995,419,14,1,36,19.22,0
21,129169,473596,684,17,1,48,22.47,0
47,50109,182827,808,22,2,60,7.99,0
33,65670,209583,492,6,0,12,20.99,0
61,65022,96013,719,13,2,24,22.24,0
23,59237,379157,324,13,2,24,22.11,1
59,24363,254806,827,19,4,12,22.52,1
26,61304,212996,816,33,4,12,24.06,0
28,26819,362872,449,29,2,36,14.58,1
47,27191,340716,756,28,2,12,10.45,1
29,21499,149160,761,6,1,12,19.28,1
57,78001,389363,556,29,4,12,9.89,1
53,125383,110618,445,29,4,48,15.18,0
62,32668,324658,310,25,3,48,16.66,1
64,111828,328893,461,4,2,60,19.24,0
44,119349,438864,553,24,3,36,20.13,0
35,131665,290650,517,29,2,60,24.96,0
52,111188,7399,441,33,4,36,23.32,0
52,121942,485091,692,18,1,60,10.4,0
44,28070,168163,540,29,2,24,23.18,1
61,106392,492291,382,7,2,24,23.34,1
32,112164,284902,653,21,2,48,23.97,0
59,103959,383428,721,29,3,24,19.04,0
22,116277,456555,427,17,3,48,16.92,1
23,19626,240660,327,22,2,24,12.57,1
57,64270,36913,540,23,1,12,12.78,0
37,55767,475240,643,15,0,60,17.38,1
22,76505,366193,391,7,0,24,20.84,1
22,17292,326297,405,12,4,36,10.88,1
48,131792,494692,421,13,3,60,16.44,0
43,29859,485620,375,19,1,60,14.26,1
57,149891,265935,638,31,4,60,16.34,0
52,125986,232440,561,34,2,12,16.55,0
53,16280,376960,555,7,2,60,22.93,1
21,23634,358749,658,1,4,48,6.27,1
39,83550,221512,586,35,2,12,16.61,0
22,74593,430007,336,22,1,48,21.4,1
64,56421,352486,776,1,3,36,16.76,1
46,100472,171995,666,27,3,24,13.44,0
52,59588,56875,324,4,4,12,10.87,0
26,107613,119262,445,24,4,36,24.55,0
52,105491,424792,585,0,3,48,7.84,0
24,101416,58420,688,21,0,60,11.45,0
31,61158,338705,496,6,3,12,12.72,1
37,68798,129808,716,22,3,24,14.33,0
58,63081,469813,305,23,4,60,15.85,1
44,70956,271384,603,25,2,24,20.89,0
25,55278,116353,687,13,3,24,20.53,0
54,83486,385354,831,30,4,48,7.44,1
26,62155,413096,523,26,3,60,18.26,1
42,104338,163016,784,21,1,48,22.76,0
31,94741,235547,549,35,2,12,5.86,0
36,59690,97865,772,16,4,12,18.72,0
53,142304,191493,364,29,1,36,14.09,0
29,22661,212759,704,20,1,48,14.53,1
26,114786,430928,598,7,4,48,24.81,1
36,51988,256789,799,1,4,60,6.94,1
49,75159,96776,666,5,1,12,6.34,0
23,48410,204330,787,12,4,36,22.99,1
40,93868,422233,450,28,1,12,14.51,1
56,49354,327688,781,34,0,48,11.17,1
39,99329,341554,322,29,2,36,16.82,0
46,21504,132992,362,33,0,24,12.47,1
23,108961,33484,826,19,1,12,14.91,0
39,44811,258002,416,14,4,48,16.03,1
40,32225,416109,762,9,3,48,18.87,1
52,117891,45703,543,23,2,36,8.91,0
27,107732,433247,750,17,4,48,20.92,1
61,17272,175726,804,2,4,36,21.97,1
53,79980,138356,636,27,1,36,8.42,0
60,72167,48103,589,11,1,60,14.83,0
59,89697,86078,726,32,2,12,11.54,0
38,147143,155415,532,15,1,36,9.5,0
60,106477,129536,770,2,2,48,11.43,0
21,149702,41034,708,32,3,24,19.17,0
31,80763,96385,528,23,3,60,24.61,0
48,128646,319814,589,0,3,36,22.52,0
45,94544,273359,673,13,0,12,5.96,0
43,34954,285543,499,8,3,60,7.19,1
51,138324,440093,432,34,2,36,13.19,0
50,121297,14143,621,15,1,24,23.41,0
62,95211,330683,635,8,3,60,5.64,0
55,77787,291191,478,11,3,12,14.1,1
27,147691,491352,733,30,2,24,24.94,0
36,93421,209954,737,5,4,48,11.77,0
46,92230,197831,779,38,4,24,23.84,0
22,125122,455860,767,29,0,48,21.61,0
21,26448,193610,796,35,3,12,5.34,1
32,58369,233377,718,24,2,36,9.98,0
25,133372,53354,841,28,2,24,8.69,0
57,26467,274708,474,28,1,12,12.29,1
52,42095,109656,597,21,2,24,22.79,0
29,123715,252197,577,3,2,36,6.5,0
61,54007,226916,330,39,3,60,8.64,1
55,133562,411349,350,8,2,24,6.11,0
39,28617,462501,458,20,0,36,23.59,1
36,43304,8044,399,39,4,36,7.48,0
23,111729,363652,441,10,3,60,19.15,0
40,86120,235827,416,12,4,24,12.97,0
44,89341,405303,767,19,3,24,17.85,0
53,105800,170128,338,9,4,36,13.91,0
44,89625,417847,647,22,0,24,6.8,0
31,80416,219367,465,31,4,60,6.36,0
28,128792,107583,406,23,4,24,11.11,0
56,75356,225483,803,10,2,24,6.76,0
58,26110,287501,622,37,1,48,17.2,1
60,114464,206202,801,32,1,36,5.72,0
40,120635,426056,454,26,0,36,11.85,0
55,29684,52960,421,22,1,48,17.79,0
45,128102,5999,322,3,0,24,13.3,0
55,39419,494957,334,14,0,24,11.37,1
45,147599,273482,529,2,1,60,14.27,0
