age,income,loan_amount,credit_score,employment_years,existing_loans,loan_term,interest_rate,default
59,99650,110870,777,3,4,12,17.89,1
49,29539,184609,843,36,3,24,12.81,1
35,55593,296467,731,2,1,24,24.98,1
63,113446,204419,667,2,0,12,11.89,1
28,140114,65120,781,23,4,12,18.69,0
41,108671,221795,680,4,1,60,22.9,1
59,140049,323098,447,38,1,60,18.09,1
39,75765,435536,758,13,2,60,12.07,1
43,111782,83946,548,27,4,36,8.96,1
31,108984,58676,438,7,1,24,12.47,1
31,48312,66731,320,36,2,12,21.9,1
44,22586,264266,470,32,3,48,16.43,1
56,97833,299020,821,18,3,12,22.32,1
60,140017,266875,382,17,3,12,8.96,1
44,99463,195440,594,18,0,12,23.22,1
23,125491,42969,412,34,3,12,15.17,1
42,30020,60977,363,12,1,24,20.92,1
22,113170,357631,434,34,1,48,9.64,1
44,74523,428218,681,16,2,24,14.23,1
64,90043,364886,461,38,0,60,19.59,1
50,78477,321632,611,23,4,36,10.47,1
58,108420,220953,789,29,4,48,7.23,1
22,105334,267598,447,19,0,24,5.96,1
41,125918,118941,416,26,4,48,22.94,1
53,44904,300127,806,9,4,36,18.99,1
32,99073,334762,698,26,3,48,16.88,1
42,97644,222621,519,10,0,12,13.57,1
64,137507,466722,414,30,2,12,6.86,1
45,77927,55561,643,36,0,24,13.83,1
47,67050,258756,464,16,4,48,13.24,1
62,49232,136786,596,3,4,36,24.57,1
48,95656,217217,432,13,1,48,5.64,1
36,79021,151044,477,33,2,60,21.95,1
35,57914,151030,565,12,0,24,6.1,1
64,78856,260385,685,8,1,36,24.83,1
23,126290,499982,736,24,2,36,13.32,1
57,61798,471532,490,3,2,24,10.26,1
27,53382,464090,637,21,3,24,16.24,1
41,38473,278097,705,11,4,12,21.53,1
29,136451,436342,682,30,1,24,11.56,1
59,30765,69478,734,0,4,12,7.46,1
38,107334,58056,401,23,1,48,17.08,1
24,81314,205009,646,1,3,24,20.85,1
45,68120,20651,423,15,2,12,12.25,1
34,55435,22296,834,37,2,36,12.51,0
29,94843,247345,540,16,2,60,18.26,1
46,117900,360243,370,14,4,36,23.17,1
22,22357,474930,738,11,2,36,6.6,1
40,83089,266826,523,38,1,48,7.06,1
48,43820,487546,595,22,0,24,9.49,1
27,35487,282809,550,32,4,48,23.26,1
64,94507,48797,488,30,3,24,5.65,0
28,37188,94521,415,28,3,60,20.61,1
55,93416,43468,373,32,1,36,24.59,1
34,46310,43146,623,31,4,12,24.39,1
37,109658,99800,625,22,4,12,5.72,1
56,35062,310648,740,3,3,60,14.46,1
60,94671,189629,569,31,1,36,11.8,1
24,84241,225339,664,37,1,12,15.54,1
22,24044,10141,607,4,3,36,13.44,1
26,77263,317282,616,39,4,24,19.14,1
62,71917,341928,573,5,4,12,9.1,1
24,23647,183580,833,17,2,12,23.08,1
49,120479,338952,623,19,2,36,23.57,1
38,113533,473099,310,3,0,12,22.71,1
46,38191,299568,484,21,4,48,20.09,1
64,143526,348173,808,39,2,60,6.41,1
54,113259,212387,823,1,3,48,6.59,0
30,135282,169299,382,4,1,12,16.43,1
56,116781,142068,563,9,0,12,6.28,1
34,95840,105339,683,13,4,48,14.34,1
51,123286,42881,583,30,1,36,17.53,1
35,76885,208222,389,14,0,60,18.69,1
28,80702,158611,651,23,0,36,23.33,1
34,72924,375793,810,7,0,24,6.78,1
43,139679,18487,449,2,3,36,24.12,0
60,59587,438337,495,34,2,48,19.23,1
41,75197,452088,432,36,1,48,15.85,1
36,81463,94900,563,20,3,48,16.59,1
38,91636,222376,326,20,1,48,5.14,1
44,93779,12316,532,3,0,60,14.92,1
46,133788,290558,639,27,0,60,8.02,1
45,68246,295920,483,27,3,48,12.92,1
61,136671,71808,767,19,2,36,20.58,1
49,145430,426177,552,37,3,24,7.37,1
35,61558,73583,538,1,0,60,24.95,1
21,46244,487906,799,16,3,36,20.08,1
45,44386,341945,811,23,1,24,19.87,1
27,37312,461031,595,21,1,36,22.32,1
29,122983,273288,463,23,4,60,9.72,1
44,23718,150951,363,25,1,60,23.09,1
21,80536,59466,648,4,4,48,15.05,1
64,121766,117736,401,5,4,60,12.94,1
28,62078,229640,431,28,4,60,12.88,1
44,30542,386463,677,1,4,12,14.65,1
31,132575,129050,839,28,0,60,16.14,0
37,136204,220953,440,3,4,48,10.44,1
28,144562,155623,461,17,1,48,13.99,1
55,137593,146739,438,31,3,48,7.2,1
55,115299,463960,340,25,1,24,13.04,1
53,149649,179091,520,19,1,48,9.67,1
25,128211,365097,759,27,2,60,8.99,1
62,135897,365550,761,1,1,12,5.92,1
59,29322,199625,824,36,1,60,24.9,1
61,72813,307483,584,17,3,24,22.97,1
48,66442,405339,610,38,1,36,7.27,1
27,124097,393791,615,21,2,12,12.11,1
29,90447,86326,508,24,1,24,20.96,0
28,22212,264622,617,35,3,60,12.89,1
32,49867,283838,444,2,4,60,12.28,1
54,79662,378816,395,7,2,48,12.94,1
53,113716,318650,557,2,0,12,19.54,1
43,62672,16839,489,26,0,48,20.68,1
44,96682,13543,792,36,2,36,14.93,1
57,75624,247562,602,30,0,24,19.43,1
55,149065,64481,322,1,2,24,16.36,1
64,26654,468051,337,23,3,36,20.21,1
60,15246,199178,491,38,2,36,7.22,1
42,71714,210723,821,17,2,48,22.05,1
47,59738,86096,686,29,3,36,19.54,1
55,71247,221965,719,16,4,36,18.9,1
21,133055,301196,761,4,3,12,22.62,1
55,43906,143440,757,3,3,12,24.87,1
57,148761,442174,848,0,2,24,19.35,1
34,82004,184693,671,15,4,12,21.52,1
23,80768,83177,636,27,3,24,12.16,1
21,137699,396705,642,35,3,60,15.5,1
25,143881,424834,416,3,4,24,5.8,1
46,104060,195718,622,3,2,12,24.69,1
34,115190,172733,595,19,0,24,22.47,1
59,31693,243013,537,28,3,60,14.82,1
47,106019,31722,341,30,2,36,14.52,1
29,82136,480203,536,5,2,60,19.24,1
35,133002,341762,729,4,3,12,12.39,1
35,44027,48980,753,1,2,60,12.67,1
46,79307,276207,479,37,2,60,7.13,1
62,20729,456508,359,33,2,24,12.89,1
33,72143,14748,763,28,2,60,5.62,0
52,60932,60249,323,13,2,12,15.88,1
59,131529,358875,765,17,0,48,9.01,1
52,131363,21003,495,19,0,60,7.58,0
24,82326,152551,542,20,1,12,21.85,1
50,125016,11810,784,39,4,12,19.8,0
57,56893,458976,561,24,2,36,10.23,1
43,139213,112846,301,10,1,36,18.52,0
59,117647,358117,579,31,0,24,14.69,1
35,57411,357598,609,16,3,24,15.55,1
63,93732,208804,431,7,4,48,5.91,1
49,147011,452608,779,24,3,60,12.16,1
56,24285,50752,537,4,1,24,21.42,1
33,87626,80232,652,8,0,48,14.77,0
52,42077,174553,338,22,1,24,7.36,1
27,74757,450722,301,15,2,36,9.33,1
42,59733,66133,376,12,2,24,9.27,1
